name,city,catalogue_link,contact
iPlace,Coimbatore,https://web.whatsapp.com/catalog/919994555548,9994555548
T- Mobiles,Coimbatore/ Palakkad,https://web.whatsapp.com/catalog/919894203334,"9751703334
9962683334
9597283334
9037743052 Palakkad Kerala
Annamalai raja 9894203334
Ibrahim - 9042047546
office number- 9944183334"
T- Mobiles,Coimbatore/ Palakkad,https://web.whatsapp.com/catalog/919944183334,"9751703334
9962683334
9597283334
9037743052 Palakkad Kerala
Annamalai raja 9894203334
Ibrahim - 9042047546
office number- 9944183334"
Get Electronics,Bengaluru,https://web.whatsapp.com/catalog/919036241004,"9036281005
9036241004"
Star Zone Mobiles,Coimbatore,https://web.whatsapp.com/catalog/919344207639,"9361454865
9344207639"
Gumcha Mobiles,Coimbatore,https://web.whatsapp.com/catalog/919994751197,9994751197
WE STORE,Kochi/Kozhikode/Koyilandy/Thrissur,https://web.whatsapp.com/catalog/919037722433,"Kochi:9037722433
9745779988
Kozhikode:9037661123
9037722422
Koyilandy:7356354434
Thrissur:8590000163"
NEXUS COMMUNICATION,Kochi,https://web.whatsapp.com/catalog/917711822228,"7711822228
9895544464"
DR FONE,Kochi,https://web.whatsapp.com/catalog/919544886210,"9544886210
9037635489"
DR FONE,Kochi,https://web.whatsapp.com/catalog/919037635489,"9544886210
9037635489"
ICLOUD MOBILE,Kozhikode,https://web.whatsapp.com/catalog/917592859859,"Calicut Nadakkave : 9072359859
Medical College : 7592859859
Ashokapuram Service : 9072859859
7592822322"
FAST PHONE,Ernakulam,https://web.whatsapp.com/catalog/918281335363,"8281335363
9497605767"
AJ Connect,Angamaly,https://web.whatsapp.com/catalog/917025036363,"7025036363
7736777621
7025030363"
The Phone Shop,Thiruvananthapuram,https://web.whatsapp.com/catalog/918129892444,8129892444
Phonedipo,Delhi,https://web.whatsapp.com/catalog/917303625679,7303625679 
